time_ns,g_eff,u_X1,u_Y1,u_X2,u_Y2
0,4.215547709e-06,0,0,0,0
0.05,4.943035054e-06,0,0,0,0
0.1,5.786800371e-06,0,0,0,0
0.15,6.763763906e-06,0,0,0,0
0.2,7.893025536e-06,0,0,0,0
0.25,9.196100412e-06,0,0,0,0
0.3,1.069717327e-05,0,0,0,0
0.35,1.242337186e-05,0,0,0,0
0.4,1.440505989e-05,0,0,0,0
0.45,1.667614952e-05,0,0,0,0
0.5,1.927443345e-05,0,0,0,0
0.55,2.224193622e-05,0,0,0,0
0.6,2.562528414e-05,0,0,0,0
0.65,2.947609294e-05,0,0,0,0
0.7,3.385137185e-05,0,0,0,0
0.75,3.881394254e-05,0,0,0,0
0.8,4.443287067e-05,0,0,0,0
0.85,5.078390765e-05,0,0,0,0
0.9,5.794993951e-05,0,0,0,0
0.95,6.602143922e-05,0,0,0,0
1,7.50969185e-05,0,0,0,0
1.05,8.528337422e-05,0,0,0,0
1.1,9.66967242e-05,0,0,0,0
1.15,0.0001094622265,0,0,0,0
1.2,0.0001237148754,0,0,0,0
1.25,0.0001395997677,0,0,0,0
1.3,0.0001572724302,0,0,0,0
1.35,0.0001768991022,0,0,0,0
1.4,0.0001986569616,0,0,0,0
1.45,0.0002227342877,0,0,0,0
1.5,0.00024933055,0,0,0,0
1.55,0.0002786564123,0,0,0,0
1.6,0.000310933644,0,0,0,0
1.65,0.000346394925,0,0,0,0
1.7,0.0003852835381,0,0,0,0
1.75,0.0004278529347,0,0,0,0
1.8,0.0004743661662,0,0,0,0
1.85,0.0005250951719,0,0,0,0
1.9,0.0005803199132,0,0,0,0
1.95,0.0006403273474,0,0,0,0
2,0.0007054102341,0,0,0,0
2.05,0.0007758657681,0,0,0,0
2.1,0.0008519940353,0,0,0,0
2.15,0.0009340962889,0,0,0,0
2.2,0.001022473045,0,0,0,0
2.25,0.001117422001,0,0,0,0
2.3,0.001219235773,0,0,0,0
2.35,0.001328199475,0,0,0,0
2.4,0.001444588126,0,0,0,0
2.45,0.001568663914,0,0,0,0
2.5,0.001700673326,0,0,0,0
2.55,0.001840844156,0,0,0,0
2.6,0.001989382416,0,0,0,0
2.65,0.002146469173,0,0,0,0
2.7,0.002312257331,0,0,0,0
2.75,0.002486868397,0,0,0,0
2.8,0.002670389246,0,0,0,0
2.85,0.002862868937,0,0,0,0
2.9,0.003064315593,0,0,0,0
2.95,0.003274693402,0,0,0,0
3,0.003493919762,0,0,0,0
3.05,0.003721862619,0,0,0,0
3.1,0.003958338027,0,0,0,0
3.15,0.00420310798,0,0,0,0
3.2,0.00445587855,0,0,0,0
3.25,0.004716298364,0,0,0,0
3.3,0.004983957464,0,0,0,0
3.35,0.005258386586,0,0,0,0
3.4,0.005539056874,0,0,0,0
3.45,0.005825380079,0,0,0,0
3.5,0.006116709246,0,0,0,0
3.55,0.006412339923,0,0,0,0
3.6,0.006711511906,0,0,0,0
3.65,0.007013411517,0,0,0,0
3.7,0.007317174433,0,0,0,0
3.75,0.007621889059,0,0,0,0
3.8,0.007926600435,0,0,0,0
3.85,0.008230314658,0,0,0,0
3.9,0.008532003808,0,0,0,0
3.95,0.008830611343,0,0,0,0
4,0.009125057921,0,0,0,0
4.05,0.009414247629,0,0,0,0
4.1,0.009697074547,0,0,0,0
4.15,0.009972429616,0,0,0,0
4.2,0.01023920773,0,0,0,0
4.25,0.01049631504,0,0,0,0
4.3,0.01074267629,0,0,0,0
4.35,0.01097724229,0,0,0,0
4.4,0.01119899729,0,0,0,0
4.45,0.01140696629,0,0,0,0
4.5,0.01160022213,0,0,0,0
4.55,0.01177789238,0,0,0,0
4.6,0.01193916589,0,0,0,0
4.65,0.01208329895,0,0,0,0
4.7,0.01220962099,0,0,0,0
4.75,0.0123175398,0,0,0,0
4.8,0.01240654613,0,0,0,0
4.85,0.01247621769,0,0,0,0
4.9,0.0125262225,0,0,0,0
4.95,0.01255632154,0,0,0,0
5,0.01256637061,0,0,0,0
5.05,0.01256637061,0,0,0,0
5.1,0.01256637061,0,0,0,0
5.15,0.01256637061,0,0,0,0
5.2,0.01256637061,0,0,0,0
5.25,0.01256637061,0,0,0,0
5.3,0.01256637061,0,0,0,0
5.35,0.01256637061,0,0,0,0
5.4,0.01256637061,0,0,0,0
5.45,0.01256637061,0,0,0,0
5.5,0.01256637061,0,0,0,0
5.55,0.01256637061,0,0,0,0
5.6,0.01256637061,0,0,0,0
5.65,0.01256637061,0,0,0,0
5.7,0.01256637061,0,0,0,0
5.75,0.01256637061,0,0,0,0
5.8,0.01256637061,0,0,0,0
5.85,0.01256637061,0,0,0,0
5.9,0.01256637061,0,0,0,0
5.95,0.01256637061,0,0,0,0
6,0.01256637061,0,0,0,0
6.05,0.01256637061,0,0,0,0
6.1,0.01256637061,0,0,0,0
6.15,0.01256637061,0,0,0,0
6.2,0.01256637061,0,0,0,0
6.25,0.01256637061,0,0,0,0
6.3,0.01256637061,0,0,0,0
6.35,0.01256637061,0,0,0,0
6.4,0.01256637061,0,0,0,0
6.45,0.01256637061,0,0,0,0
6.5,0.01256637061,0,0,0,0
6.55,0.01256637061,0,0,0,0
6.6,0.01256637061,0,0,0,0
6.65,0.01256637061,0,0,0,0
6.7,0.01256637061,0,0,0,0
6.75,0.01256637061,0,0,0,0
6.8,0.01256637061,0,0,0,0
6.85,0.01256637061,0,0,0,0
6.9,0.01256637061,0,0,0,0
6.95,0.01256637061,0,0,0,0
7,0.01256637061,0,0,0,0
7.05,0.01256637061,0,0,0,0
7.1,0.01256637061,0,0,0,0
7.15,0.01256637061,0,0,0,0
7.2,0.01256637061,0,0,0,0
7.25,0.01256637061,0,0,0,0
7.3,0.01256637061,0,0,0,0
7.35,0.01256637061,0,0,0,0
7.4,0.01256637061,0,0,0,0
7.45,0.01256637061,0,0,0,0
7.5,0.01256637061,0,0,0,0
7.55,0.01256637061,0,0,0,0
7.6,0.01256637061,0,0,0,0
7.65,0.01256637061,0,0,0,0
7.7,0.01256637061,0,0,0,0
7.75,0.01256637061,0,0,0,0
7.8,0.01256637061,0,0,0,0
7.85,0.01256637061,0,0,0,0
7.9,0.01256637061,0,0,0,0
7.95,0.01256637061,0,0,0,0
8,0.01256637061,0,0,0,0
8.05,0.01256637061,0,0,0,0
8.1,0.01256637061,0,0,0,0
8.15,0.01256637061,0,0,0,0
8.2,0.01256637061,0,0,0,0
8.25,0.01256637061,0,0,0,0
8.3,0.01256637061,0,0,0,0
8.35,0.01256637061,0,0,0,0
8.4,0.01256637061,0,0,0,0
8.45,0.01256637061,0,0,0,0
8.5,0.01256637061,0,0,0,0
8.55,0.01256637061,0,0,0,0
8.6,0.01256637061,0,0,0,0
8.65,0.01256637061,0,0,0,0
8.7,0.01256637061,0,0,0,0
8.75,0.01256637061,0,0,0,0
8.8,0.01256637061,0,0,0,0
8.85,0.01256637061,0,0,0,0
8.9,0.01256637061,0,0,0,0
8.95,0.01256637061,0,0,0,0
9,0.01256637061,0,0,0,0
9.05,0.01256637061,0,0,0,0
9.1,0.01256637061,0,0,0,0
9.15,0.01256637061,0,0,0,0
9.2,0.01256637061,0,0,0,0
9.25,0.01256637061,0,0,0,0
9.3,0.01256637061,0,0,0,0
9.35,0.01256637061,0,0,0,0
9.4,0.01256637061,0,0,0,0
9.45,0.01256637061,0,0,0,0
9.5,0.01256637061,0,0,0,0
9.55,0.01256637061,0,0,0,0
9.6,0.01256637061,0,0,0,0
9.65,0.01256637061,0,0,0,0
9.7,0.01256637061,0,0,0,0
9.75,0.01256637061,0,0,0,0
9.8,0.01256637061,0,0,0,0
9.85,0.01256637061,0,0,0,0
9.9,0.01256637061,0,0,0,0
9.95,0.01256637061,0,0,0,0
10,0.01256637061,0,0,0,0
10.05,0.01256637061,-1.852941851e-05,2.277271312e-05,-1.984288588e-05,-3.097953266e-05
10.1,0.01256637061,-7.362504197e-05,9.037723686e-05,-7.882664134e-05,-0.0001227973078
10.15,0.01256637061,-0.0001645479223,0.0002017431478,-0.0001761339131,-0.0002737720913
10.2,0.01256637061,-0.0002905591113,0.0003558000226,-0.000310947348,-0.0004822226488
10.25,0.01256637061,-0.000450919661,0.0005514774378,-0.0004824495927,-0.0007464677462
10.3,0.01256637061,-0.0006448906233,0.0007877049699,-0.0006898232939,-0.001064826149
10.35,0.01256637061,-0.00087173305,0.001063412196,-0.0009322510984,-0.001435616624
